address,tel,city,category,site,discount_desc
"Θηβών 510, ΤΚ 13123, Αθήνα",2105053003,Αθήνα,"Αλλο, Αλλο, Ξενοδοχεια, ΤΟΥΡΙΣΜΟΣ, ΥΠΗΡΕΣΙΕΣ",www.ekdromi.gr,"20,00 ευρώ για οποιαδήποτε αγορά στο ekdromi.gr από τον Μάιο μέχρι τον Σεπτέμβριο και 10,00 ευρώ για αγορά στο ekdromi.gr από τον Οκτώβριο έως τον Απρίλιο.

Η έκπτωση των 10 ευρώ ή των 20 ευρώ δε δύναται να ζητηθεί σε χρηματική απόδοση, δηλαδή εάν κάποιος αγοράσει ένα πακέτο των 200 ευρώ και πληρώσει 180 ευρώ λόγω της εκπτώσεως και μετά ζητήσει ακύρωση και επιστροφή χρημάτων, ο συνεργάτης θα του αποδώσει τα χρήματα που πλήρωσε ο δικαιούχος ήτοι 180 ευρώ.
Η προσφορά αυτή δεν μπορεί να συνδυαστεί με οποιαδήποτε άλλη προωθητική ενέργεια του Ekdromi.gr και ιδιαιτέρως με τις ενέργειες που κατά καιρούς έχει ο συνεργάτης με τις 4 συστημικές τράπεζες και τα loyalty προγράμματά τους, καθώς και την Cosmote."
"Αθανασίου Διάκου 16, ΤΚ 11742, Αθήνα",2169003321,Αθήνα,"Αλλο, ΠΟΛΙΤΙΣΜΟΣ & ΨΥΧΑΓΩΓΙΑ",reservations@athensbybike.gr,ΑΤΗΕΝS MORNING BIKE TOUR - ΔΩΡΕΑΝ.
"Λεωφ. Μαραθώνος 156 , ΤΚ19005, Νέα Μάκρη",6970366819,Νέα Μάκρη,"Καμπινγκ/Κατασκηνωσεις, ΤΟΥΡΙΣΜΟΣ",www.campingneamakri.gr/EL,10% επί των αναγραφόμενων τιμών κατά τους μήνες Ιούλιο και Αύγουστο και 15% έκπτωση επί των αναγραφόμενων τιμών κατά τους υπολοίπους μήνες (Σεπτέμβριο - Ιούνιο).
"Φηροστεφάνι Θήρας , ΤΚ 84700, Σαντορίνη",2286022519,Σαντορίνη,"Ξενοδοχεια, ΤΟΥΡΙΣΜΟΣ",www.villailias.gr,10%.
"Χώρα, 85900, Αστυπάλαια",2243061935,Αστυπάλαια,"Ξενοδοχεια, ΤΟΥΡΙΣΜΟΣ",www.kallichoron.gr/el,"15% στις υπηρεσίες διαμονής του ξενοδοχείου επί του επίσημου τιμοκαταλόγου. Την περίοδο Ιουλίου - Αυγούστου, η έκπτωση είναι 10%."
"Ψακούδια - Σιθωνία, ΤΚ 63071, Χαλκιδική",2371051960,Χαλκιδική,"Ξενοδοχεια, ΤΟΥΡΙΣΜΟΣ",www.philoxenianet.gr,"10% στις υπηρεσίες διαμονής σε οποιαδήποτε περίοδο κατά τη διάρκεια Λειτουργίας του Ξενοδοχείου (εποχική), βάσει της διαθεσιμότητας επί των αναγραφόμενων τιμών που αναρτώνται στην ιστοσελίδα του ξενοδοχείου www.philoxenianet.gr. Επιπλέον, έκπτωση 20% στο ΜΠΑΡ του ξενοδοχείου με την επίδειξη της Κάρτας Νέων στις καταναλώσεις μη αλκοολούχων ποτών."
"3,3 Χλμ Ε.Ο Θεσ/νικης - Κατερίνης, ΤΚ/57009 Καλοχώρι, Χαλκιδική",2310501457,"Σιθωνία,Χαλκιδική","Καμπινγκ/Κατασκηνωσεις, ΤΟΥΡΙΣΜΟΣ",www.thalattacamp.gr,10% για όποιον έχει δικό του κατασκηνωτικό μέσο.
"Στέφανου Δέλτα 15, ΤΚ 15452, Ψυχικό",2106798100,"Αθήνα,Ψυχικό","ΜΟΡΦΩΣΗ & ΕΚΠΑΙΔΕΥΣΗ, Σεμιναρια Επαγγελματικης Καταρτισης & Επιμορφωσης",www.haef.gr,20% σε προγράμματα άτυπης μάθησης Ενηλίκων.
"Μαρίνα Τερψιθέας,  26441 Πάτρα",2610423939,Πάτρα,"ΑΘΛΗΤΙΣΜΟΣ, Αλλο, Μαθηματα Εκμαθησης Σπορ/Ενοικιασεις",www.sailingclub.gr,10% στο κόστος συμμετοχής στη Σχολή Ιστιοπλοϊκής Ανοικτής Θάλασσας του Ομίλου.
"Πλάτωνος 1, ΤΚ 15234, Χολαργός",2106826282,"Χαλάνδρι,Χολαργός",Υπηρεσιες Υγειας,www.mikrobiologiko.eu,Τιμολόγιο δημοσίου για όλες τις εξετάσεις με ελάχιστη χρέωση 5 ευρώ στις υπόλοιπες εξετάσεις χωρίς τιμή ΦΕΚ έκπτωση 20%.
"Κυπαρισσία, Μεσσηνία",2761024411,Κυπαρισσία,"Ξενοδοχεια, ΤΟΥΡΙΣΜΟΣ",www.apollo-hotel.gr,15%
Λαγκαδά 16 Θεσσαλονίκη,Εκδοτήρια Θεσσαλονίκη,Θεσσαλονίκη,"Λεωφορεια/Τρενα/Αεροπλανα/Πλοια, ΤΑΞΙΔΙΑ & ΜΕΤΑΦΟΡΕΣ",www.ktelthes.gr/el,25% επί της τιμής εισιτηρίου στην υπεραστική λεωφορειακή γραμμή Θεσσαλονίκη - Αθήνα και Πειραιάς και αντίστροφα.
